user,date,weekday,time,permanence_times,parking_lot
93,2017-09-01,Fri,10:00,158,4
27,2017-09-01,Fri,10:00,287,4
29,2017-09-01,Fri,12:00,199,4
37,2017-09-01,Fri,14:00,92,4
93,2017-09-01,Fri,16:00,373,4
88,2017-09-01,Fri,7:30,367,4
136,2017-09-01,Fri,8:00,131,4
29,2017-09-01,Fri,9:30,166,4
134,2017-09-01,Fri,9:30,106,4
8,2017-09-01,Fri,11:30,217,11
29,2017-09-01,Fri,11:30,42,11
30,2017-09-01,Fri,11:30,215,11
106,2017-09-01,Fri,11:30,120,11
109,2017-09-01,Fri,11:30,71,11
108,2017-09-01,Fri,7:30,289,11
110,2017-09-01,Fri,8:00,141,11
111,2017-09-01,Fri,8:00,354,11
119,2017-09-01,Fri,8:00,294,11
131,2017-09-01,Fri,8:00,55,11
34,2017-09-01,Fri,10:00,64,16
12,2017-09-01,Fri,10:00,282,16
34,2017-09-01,Fri,11:30,272,16
129,2017-09-01,Fri,7:30,155,16
12,2017-09-01,Fri,8:00,116,16
7,2017-09-01,Fri,9:30,347,16
77,2017-09-01,Fri,9:30,179,16
20,2017-09-01,Fri,14:00,242,19
94,2017-09-01,Fri,8:00,151,19
145,2017-09-01,Fri,8:00,350,19
84,2017-09-01,Fri,8:00,271,19
1,2017-09-01,Fri,9:30,377,19
23,2017-09-01,Fri,9:30,329,19
44,2017-09-01,Fri,9:30,433,19
105,2017-09-01,Fri,9:30,57,19
114,2017-09-01,Fri,9:30,231,19
36,2017-09-01,Fri,11:30,46,21
45,2017-09-01,Fri,13:30,159,21
135,2017-09-01,Fri,7:30,112,21
124,2017-09-01,Fri,8:00,140,21
133,2017-09-01,Fri,8:00,386,21
21,2017-09-01,Fri,9:30,408,21
45,2017-09-01,Fri,9:30,106,21
92,2017-09-01,Fri,10:00,432,29
5,2017-09-01,Fri,11:30,283,29
92,2017-09-01,Fri,18:00,170,29
101,2017-09-01,Fri,8:00,201,30
130,2017-09-01,Fri,8:00,203,30
11,2017-09-01,Fri,9:30,321,30
144,2017-09-01,Fri,9:30,300,30
13,2017-09-01,Fri,10:00,322,32
2,2017-09-01,Fri,11:30,272,32
89,2017-09-01,Fri,16:00,312,32
149,2017-09-01,Fri,8:00,217,32
3,2017-09-01,Fri,9:30,157,32
9,2017-09-01,Fri,9:30,283,32
89,2017-09-01,Fri,9:30,190,32
150,2017-09-01,Fri,9:30,147,32
41,2017-09-01,Fri,10:00,386,39
90,2017-09-01,Fri,16:00,44,39
91,2017-09-01,Fri,16:00,187,39
87,2017-09-01,Fri,7:30,212,39
98,2017-09-01,Fri,8:00,254,39
33,2017-09-01,Fri,9:30,372,39
42,2017-09-01,Fri,9:30,313,39
90,2017-09-01,Fri,9:30,89,39
91,2017-09-01,Fri,9:30,230,39
125,2017-09-01,Fri,9:30,215,39
84,2017-09-02,Sat,16:00,210,11
7,2017-09-02,Sat,8:00,216,11
103,2017-09-02,Sat,9:30,355,11
94,2017-09-02,Sat,16:00,172,19
88,2017-09-02,Sat,17:30,333,19
94,2017-09-02,Sat,8:00,272,19
89,2017-09-02,Sat,10:00,150,32
89,2017-09-02,Sat,17:30,156,32
119,2017-09-03,Sun,10:00,321,11
119,2017-09-03,Sun,7:30,190,11
109,2017-09-03,Sun,9:30,361,11
3,2017-09-03,Sun,12:00,171,19
91,2017-09-03,Sun,10:00,357,39
91,2017-09-03,Sun,16:00,319,39
91,2017-09-03,Sun,9:30,46,39
93,2017-09-04,Mon,11:30,143,4
37,2017-09-04,Mon,6:00,331,4
29,2017-09-04,Mon,7:30,283,4
93,2017-09-04,Mon,7:30,196,4
136,2017-09-04,Mon,7:30,365,4
27,2017-09-04,Mon,8:00,372,4
134,2017-09-04,Mon,9:30,109,4
8,2017-09-04,Mon,11:30,251,11
119,2017-09-04,Mon,11:30,305,11
45,2017-09-04,Mon,7:30,386,11
110,2017-09-04,Mon,7:30,295,11
106,2017-09-04,Mon,8:00,204,11
108,2017-09-04,Mon,8:00,337,11
111,2017-09-04,Mon,8:00,189,11
98,2017-09-04,Mon,9:30,201,11
109,2017-09-04,Mon,9:30,234,11
77,2017-09-04,Mon,11:30,217,16
12,2017-09-04,Mon,7:30,146,16
34,2017-09-04,Mon,7:30,89,16
7,2017-09-04,Mon,8:00,298,16
104,2017-09-04,Mon,8:00,39,16
129,2017-09-04,Mon,8:00,151,16
104,2017-09-04,Mon,9:30,73,16
23,2017-09-04,Mon,11:30,139,19
23,2017-09-04,Mon,6:00,299,19
1,2017-09-04,Mon,7:30,248,19
20,2017-09-04,Mon,7:30,148,19
94,2017-09-04,Mon,8:00,396,19
145,2017-09-04,Mon,8:00,138,19
12,2017-09-04,Mon,9:30,369,19
21,2017-09-04,Mon,11:30,398,21
124,2017-09-04,Mon,11:30,106,21
135,2017-09-04,Mon,11:30,100,21
21,2017-09-04,Mon,7:30,257,21
95,2017-09-04,Mon,7:30,279,21
97,2017-09-04,Mon,8:00,337,21
124,2017-09-04,Mon,8:00,144,21
133,2017-09-04,Mon,8:00,106,21
135,2017-09-04,Mon,9:30,133,21
5,2017-09-04,Mon,10:00,224,29
92,2017-09-04,Mon,12:00,101,29
92,2017-09-04,Mon,16:00,294,29
122,2017-09-04,Mon,9:30,287,29
11,2017-09-04,Mon,6:00,417,30
17,2017-09-04,Mon,6:00,167,30
130,2017-09-04,Mon,7:30,303,30
101,2017-09-04,Mon,8:00,78,30
144,2017-09-04,Mon,8:00,238,30
17,2017-09-04,Mon,9:30,112,30
3,2017-09-04,Mon,11:30,143,32
126,2017-09-04,Mon,12:00,212,32
89,2017-09-04,Mon,16:00,397,32
2,2017-09-04,Mon,7:30,144,32
9,2017-09-04,Mon,7:30,273,32
13,2017-09-04,Mon,7:30,175,32
89,2017-09-04,Mon,8:00,200,32
127,2017-09-04,Mon,8:00,164,32
149,2017-09-04,Mon,8:00,186,32
150,2017-09-04,Mon,8:00,205,32
98,2017-09-04,Mon,12:00,79,39
90,2017-09-04,Mon,17:30,373,39
91,2017-09-04,Mon,17:30,143,39
87,2017-09-04,Mon,6:00,269,39
33,2017-09-04,Mon,7:30,328,39
91,2017-09-04,Mon,8:00,342,39
90,2017-09-04,Mon,9:30,317,39
125,2017-09-04,Mon,9:30,326,39
37,2017-09-05,Tue,14:00,279,4
27,2017-09-05,Tue,15:30,65,4
29,2017-09-05,Tue,16:00,197,4
27,2017-09-05,Tue,18:00,160,4
134,2017-09-05,Tue,7:30,448,4
93,2017-09-05,Tue,9:30,228,4
106,2017-09-05,Tue,11:30,79,11
108,2017-09-05,Tue,11:30,93,11
109,2017-09-05,Tue,11:30,236,11
93,2017-09-05,Tue,14:00,228,11
106,2017-09-05,Tue,14:00,344,11
108,2017-09-05,Tue,14:00,239,11
111,2017-09-05,Tue,14:00,325,11
119,2017-09-05,Tue,14:00,32,11
110,2017-09-05,Tue,15:30,72,11
119,2017-09-05,Tue,16:00,271,11
106,2017-09-05,Tue,7:30,107,11
109,2017-09-05,Tue,7:30,232,11
111,2017-09-05,Tue,8:00,209,11
110,2017-09-05,Tue,8:00,332,11
108,2017-09-05,Tue,9:30,108,11
119,2017-09-05,Tue,9:30,247,11
34,2017-09-05,Tue,14:00,66,16
7,2017-09-05,Tue,15:30,200,16
12,2017-09-05,Tue,16:00,81,16
12,2017-09-05,Tue,18:00,57,16
129,2017-09-05,Tue,7:30,164,16
104,2017-09-05,Tue,8:00,115,16
44,2017-09-05,Tue,11:30,111,19
120,2017-09-05,Tue,11:30,371,19
20,2017-09-05,Tue,14:00,220,19
94,2017-09-05,Tue,14:00,103,19
115,2017-09-05,Tue,14:00,131,19
1,2017-09-05,Tue,16:00,145,19
23,2017-09-05,Tue,16:00,367,19
94,2017-09-05,Tue,16:00,90,19
94,2017-09-05,Tue,18:00,77,19
44,2017-09-05,Tue,8:00,138,19
84,2017-09-05,Tue,8:00,210,19
145,2017-09-05,Tue,8:00,205,19
117,2017-09-05,Tue,8:00,123,19
97,2017-09-05,Tue,10:00,219,21
95,2017-09-05,Tue,11:30,212,21
21,2017-09-05,Tue,16:00,172,21
124,2017-09-05,Tue,8:00,126,21
133,2017-09-05,Tue,8:00,186,21
135,2017-09-05,Tue,8:00,434,21
5,2017-09-05,Tue,15:30,113,29
92,2017-09-05,Tue,16:00,159,29
5,2017-09-05,Tue,17:30,324,29
122,2017-09-05,Tue,7:30,159,29
101,2017-09-05,Tue,10:00,60,30
11,2017-09-05,Tue,14:00,178,30
17,2017-09-05,Tue,16:00,139,30
101,2017-09-05,Tue,8:00,98,30
144,2017-09-05,Tue,9:30,125,30
122,2017-09-05,Tue,9:30,106,30
127,2017-09-05,Tue,11:30,156,32
149,2017-09-05,Tue,11:30,164,32
9,2017-09-05,Tue,14:00,174,32
2,2017-09-05,Tue,15:30,81,32
13,2017-09-05,Tue,15:30,234,32
89,2017-09-05,Tue,15:30,385,32
89,2017-09-05,Tue,8:00,346,32
127,2017-09-05,Tue,9:30,126,32
149,2017-09-05,Tue,9:30,127,32
33,2017-09-05,Tue,14:00,369,39
91,2017-09-05,Tue,14:00,266,39
42,2017-09-05,Tue,8:00,270,39
90,2017-09-05,Tue,8:00,385,39
41,2017-09-05,Tue,9:30,342,39
